person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
25,37200,RENT,2.0,HOMEIMPROVEMENT,D,2800,16.29,1,0.08,N,3
28,28800,RENT,1.0,EDUCATION,C,15000,14.65,1,0.52,Y,8
21,78000,RENT,1.0,EDUCATION,B,14275,9.91,0,0.18,N,4
24,34000,RENT,0.0,VENTURE,D,8000,16.49,1,0.24,Y,3
24,54996,RENT,0.0,DEBTCONSOLIDATION,C,12500,12.87,0,0.23,N,2
25,46000,RENT,1.0,MEDICAL,B,9500,11.054300136425647,0,0.21,N,3
30,62496,MORTGAGE,14.0,PERSONAL,B,3200,11.054300136425647,0,0.05,N,8
27,99000,MORTGAGE,4.0,VENTURE,A,9000,7.14,0,0.09,N,8
35,48000,RENT,0.0,DEBTCONSOLIDATION,C,3400,13.06,0,0.07,N,9
23,36996,OWN,4.0,MEDICAL,A,10000,7.51,0,0.27,N,3
26,76000,RENT,5.0,DEBTCONSOLIDATION,C,11800,13.11,0,0.16,Y,3
24,72000,RENT,3.0,EDUCATION,A,6000,7.66,0,0.08,N,3
28,115000,RENT,0.0,HOMEIMPROVEMENT,A,2850,6.54,0,0.02,N,7
24,26400,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6000,8.9,0,0.23,N,4
29,40000,RENT,1.0,DEBTCONSOLIDATION,A,3600,8.59,0,0.09,N,5
24,65000,RENT,0.0,EDUCATION,B,3600,10.59,0,0.06,N,2
26,39000,MORTGAGE,0.0,DEBTCONSOLIDATION,D,5600,16.49,1,0.14,Y,3
22,33000,RENT,6.0,EDUCATION,B,9000,11.99,0,0.27,N,4
37,35000,RENT,5.0,MEDICAL,A,4000,9.32,1,0.11,N,16
22,54000,RENT,4.0,VENTURE,B,5600,9.63,0,0.1,N,2
24,37680,RENT,8.0,EDUCATION,G,15000,19.82,1,0.4,N,2
25,46000,OWN,0.0,DEBTCONSOLIDATION,E,19750,16.7,1,0.43,Y,4
28,25000,RENT,1.0,MEDICAL,B,12000,9.83,1,0.48,N,9
23,88000,MORTGAGE,7.0,VENTURE,A,12475,6.03,0,0.14,N,4
22,39000,RENT,3.0,MEDICAL,B,6600,11.054300136425647,0,0.17,N,2
28,30422,OWN,12.0,PERSONAL,A,5000,8.49,0,0.16,N,9
22,42996,RENT,3.0,PERSONAL,C,4800,11.03,0,0.11,Y,4
25,87000,MORTGAGE,4.0,MEDICAL,B,13000,11.26,0,0.15,N,3
26,74000,RENT,3.0,PERSONAL,B,9000,10.0,0,0.12,N,3
25,79000,OWN,3.0,VENTURE,A,14000,6.92,0,0.18,N,2
23,36000,OWN,7.0,VENTURE,D,8000,15.65,0,0.22,N,4
29,74000,RENT,13.0,HOMEIMPROVEMENT,B,11500,11.71,0,0.16,N,10
23,70872,RENT,7.0,DEBTCONSOLIDATION,C,10000,11.054300136425647,0,0.14,N,2
28,52000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,2800,10.99,0,0.05,N,8
38,17760,OWN,,MEDICAL,C,2800,11.054300136425647,1,0.16,N,16
39,96500,RENT,4.0,DEBTCONSOLIDATION,D,14400,15.2,1,0.15,N,11
24,53184,MORTGAGE,8.0,PERSONAL,B,13500,10.99,0,0.25,N,4
26,48000,RENT,10.0,EDUCATION,B,4225,9.83,0,0.09,N,3
44,171996,MORTGAGE,19.0,VENTURE,B,25000,9.62,0,0.15,N,11
31,79100,MORTGAGE,4.0,EDUCATION,A,19150,6.99,0,0.24,N,6
24,118000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5000,5.42,0,0.04,N,2
35,19200,RENT,2.0,VENTURE,A,3675,8.49,1,0.19,N,7
24,29000,RENT,2.0,MEDICAL,D,2500,11.054300136425647,1,0.09,N,4
51,28000,RENT,3.0,VENTURE,B,8000,11.86,0,0.29,N,26
25,80000,MORTGAGE,9.0,VENTURE,D,14000,15.62,0,0.17,Y,4
29,85000,RENT,3.0,EDUCATION,A,7000,6.92,0,0.08,N,8
24,53000,OWN,3.0,HOMEIMPROVEMENT,A,9800,7.51,0,0.18,N,4
22,100000,MORTGAGE,3.0,VENTURE,B,12000,11.11,0,0.12,N,3
22,37000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,15000,6.54,0,0.41,N,3
36,72000,RENT,5.0,VENTURE,C,16500,13.61,0,0.23,N,11
24,72000,RENT,8.0,EDUCATION,A,14000,7.9,0,0.19,N,4
23,83600,RENT,7.0,DEBTCONSOLIDATION,A,15000,8.49,1,0.18,N,2
32,60000,MORTGAGE,2.0,VENTURE,B,7125,9.99,0,0.12,N,7
23,20000,MORTGAGE,2.0,MEDICAL,B,6400,10.65,0,0.32,N,4
23,50400,MORTGAGE,7.0,EDUCATION,A,8375,7.51,0,0.17,N,2
21,80400,RENT,5.0,VENTURE,A,14400,11.054300136425647,0,0.18,N,4
23,27000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,1000,15.99,1,0.04,Y,3
29,70004,RENT,0.0,MEDICAL,A,8000,9.63,0,0.11,N,9
40,125000,RENT,1.0,DEBTCONSOLIDATION,B,24250,11.054300136425647,0,0.19,N,17
24,47928,RENT,1.0,MEDICAL,B,6000,12.53,0,0.13,N,2
22,128165,RENT,6.0,DEBTCONSOLIDATION,A,14000,8.94,0,0.11,N,3
28,38000,MORTGAGE,5.0,VENTURE,A,8400,7.51,0,0.22,N,7
33,36000,MORTGAGE,3.0,PERSONAL,A,7800,7.14,0,0.22,N,10
26,62900,MORTGAGE,4.0,MEDICAL,A,11000,7.9,1,0.15,N,3
23,50004,MORTGAGE,7.0,EDUCATION,A,2700,5.99,0,0.05,N,2
22,51600,MORTGAGE,2.0,VENTURE,C,7000,12.98,0,0.14,Y,2
24,24000,RENT,1.0,PERSONAL,E,1000,17.99,1,0.04,N,3
21,57500,MORTGAGE,6.0,VENTURE,A,4000,7.9,0,0.07,N,3
25,65000,MORTGAGE,0.0,VENTURE,A,12000,7.9,0,0.18,N,4
25,58000,MORTGAGE,4.0,MEDICAL,B,17000,10.95,0,0.29,N,4
36,62400,MORTGAGE,13.0,VENTURE,C,14100,12.98,0,0.23,Y,14
26,38000,MORTGAGE,10.0,HOMEIMPROVEMENT,D,15000,15.33,0,0.39,N,3
26,78000,RENT,6.0,DEBTCONSOLIDATION,C,18000,13.49,0,0.23,N,4
23,56900,MORTGAGE,7.0,MEDICAL,B,11200,11.054300136425647,0,0.2,N,3
23,38000,RENT,4.0,PERSONAL,B,10000,10.99,0,0.26,N,2
44,24000,OWN,5.0,EDUCATION,D,5000,14.74,0,0.21,Y,15
22,30000,RENT,1.0,EDUCATION,B,12000,10.99,1,0.4,N,3
26,36000,RENT,4.0,VENTURE,B,5000,10.37,0,0.14,N,4
29,145000,MORTGAGE,0.0,VENTURE,B,25000,10.08,0,0.17,N,8
28,52000,RENT,12.0,VENTURE,A,10000,6.92,0,0.19,N,8
36,45000,MORTGAGE,21.0,HOMEIMPROVEMENT,B,2000,9.88,0,0.04,N,12
27,70000,MORTGAGE,11.0,PERSONAL,A,5600,5.42,0,0.08,N,7
40,52479,RENT,17.0,PERSONAL,D,6600,14.54,1,0.13,N,13
38,30132,RENT,,EDUCATION,C,3000,13.85,1,0.1,N,14
27,58000,RENT,5.0,HOMEIMPROVEMENT,A,5900,9.32,0,0.1,N,6
24,40000,RENT,1.0,EDUCATION,C,3900,12.23,0,0.1,Y,3
22,50000,MORTGAGE,6.0,EDUCATION,A,4800,6.03,0,0.1,N,3
29,50000,RENT,6.0,MEDICAL,A,3000,7.29,0,0.06,N,6
23,65000,OWN,7.0,MEDICAL,C,10000,13.98,0,0.15,N,4
27,84000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,7000,7.29,0,0.08,N,5
25,108000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,21000,11.71,0,0.19,N,4
22,25000,RENT,0.0,MEDICAL,C,7000,12.87,0,0.28,Y,2
30,70000,MORTGAGE,14.0,MEDICAL,A,6000,11.054300136425647,0,0.09,N,7
22,59600,MORTGAGE,6.0,PERSONAL,A,6000,5.42,0,0.1,N,3
26,16000,RENT,1.0,VENTURE,D,2450,11.054300136425647,1,0.15,Y,2
34,103000,MORTGAGE,5.0,VENTURE,B,16000,10.62,0,0.16,N,7
27,56253,RENT,11.0,VENTURE,B,10000,11.36,0,0.18,N,8
26,48000,RENT,0.0,PERSONAL,E,6000,16.45,1,0.13,N,4
23,41496,OWN,4.0,VENTURE,E,7200,11.054300136425647,0,0.17,N,2
31,24000,RENT,2.0,DEBTCONSOLIDATION,A,3000,7.49,0,0.13,N,10
29,27600,RENT,2.0,EDUCATION,A,7500,6.62,0,0.27,N,9
25,25200,RENT,0.0,DEBTCONSOLIDATION,B,6000,9.76,0,0.24,N,3
25,125000,MORTGAGE,9.0,PERSONAL,B,12000,11.11,0,0.1,N,3
31,77000,MORTGAGE,15.0,HOMEIMPROVEMENT,B,6000,12.69,0,0.08,N,8
22,60000,MORTGAGE,6.0,EDUCATION,D,2500,15.99,0,0.04,N,3
23,65000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5400,8.9,0,0.08,N,3
35,88000,RENT,2.0,PERSONAL,A,13600,7.9,0,0.15,N,6
24,100000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,10000,12.87,0,0.1,Y,4
41,31000,RENT,5.0,MEDICAL,E,3700,16.32,1,0.12,N,17
24,30000,RENT,5.0,VENTURE,C,8000,14.26,0,0.27,Y,2
22,61000,MORTGAGE,6.0,EDUCATION,A,12000,7.49,0,0.2,N,2
23,26976,RENT,4.0,PERSONAL,A,9000,7.51,1,0.33,N,4
22,45996,RENT,0.0,MEDICAL,D,3000,15.62,1,0.07,Y,2
22,31200,RENT,3.0,EDUCATION,B,3000,11.86,0,0.1,N,4
30,105000,MORTGAGE,5.0,EDUCATION,B,20000,11.83,0,0.19,N,5
23,93000,RENT,6.0,EDUCATION,C,10000,14.26,0,0.11,N,2
23,36000,RENT,3.0,VENTURE,D,15000,14.59,1,0.42,N,4
30,230000,MORTGAGE,14.0,DEBTCONSOLIDATION,C,12000,13.98,0,0.05,Y,10
24,56533,MORTGAGE,,HOMEIMPROVEMENT,B,20000,11.11,0,0.35,N,2
29,75000,MORTGAGE,7.0,EDUCATION,A,6125,11.054300136425647,0,0.08,N,8
23,48000,MORTGAGE,8.0,VENTURE,A,10500,7.51,0,0.22,N,2
24,120000,MORTGAGE,8.0,VENTURE,A,20000,7.9,0,0.17,N,4
33,75000,RENT,0.0,MEDICAL,A,12000,7.88,0,0.16,N,10
29,43108,RENT,7.0,VENTURE,A,7200,6.03,0,0.17,N,7
26,100000,MORTGAGE,7.0,VENTURE,A,9200,6.03,0,0.09,N,3
36,55000,MORTGAGE,2.0,PERSONAL,A,12000,11.054300136425647,0,0.22,N,13
22,26400,OWN,1.0,PERSONAL,C,7300,13.61,0,0.28,Y,2
30,60000,RENT,0.0,PERSONAL,B,12000,11.71,0,0.2,N,9
23,55000,MORTGAGE,7.0,VENTURE,A,5200,8.9,0,0.09,N,4
24,56000,MORTGAGE,5.0,MEDICAL,A,17400,5.99,0,0.31,N,2
23,49000,MORTGAGE,7.0,EDUCATION,C,4000,13.99,0,0.08,N,3
27,112548,MORTGAGE,11.0,DEBTCONSOLIDATION,A,24000,11.054300136425647,0,0.21,N,7
24,65000,MORTGAGE,1.0,MEDICAL,A,10000,8.59,0,0.15,N,3
30,143000,MORTGAGE,11.0,PERSONAL,A,18000,8.49,0,0.13,N,7
23,19200,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3000,11.054300136425647,1,0.16,N,3
28,75000,MORTGAGE,2.0,MEDICAL,B,20000,12.18,0,0.27,N,5
23,60000,RENT,6.0,DEBTCONSOLIDATION,B,22000,10.25,1,0.37,N,4
23,113200,MORTGAGE,3.0,EDUCATION,B,24250,10.62,0,0.21,N,3
27,15000,RENT,2.0,EDUCATION,C,3000,13.23,1,0.2,N,7
40,86000,RENT,0.0,EDUCATION,D,20000,14.54,1,0.23,Y,13
23,69000,RENT,4.0,EDUCATION,D,3800,15.28,1,0.06,Y,3
28,158367,MORTGAGE,5.0,MEDICAL,A,12000,6.62,0,0.08,N,8
22,52000,MORTGAGE,5.0,EDUCATION,A,6000,7.9,0,0.12,N,4
28,90000,MORTGAGE,12.0,HOMEIMPROVEMENT,C,5000,14.79,0,0.06,Y,8
35,55000,MORTGAGE,14.0,PERSONAL,A,15000,8.49,0,0.27,N,10
26,115000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,15000,12.87,0,0.13,Y,3
25,24000,RENT,2.0,VENTURE,A,4000,7.75,0,0.17,N,3
29,37200,RENT,1.0,MEDICAL,A,15000,6.03,1,0.4,N,10
25,74000,OWN,1.0,VENTURE,A,16000,8.49,0,0.22,N,3
26,120000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,20000,13.79,0,0.17,Y,4
31,39000,RENT,5.0,MEDICAL,B,9000,10.71,0,0.23,N,6
25,30600,RENT,0.0,MEDICAL,E,14500,17.04,1,0.47,N,3
21,24000,RENT,4.0,HOMEIMPROVEMENT,C,9600,14.27,1,0.4,N,4
24,135000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,10000,11.054300136425647,0,0.07,N,3
35,77268,MORTGAGE,11.0,EDUCATION,C,7500,11.03,0,0.1,N,7
28,107364,MORTGAGE,12.0,DEBTCONSOLIDATION,A,8000,6.76,0,0.07,N,9
29,89000,RENT,1.0,EDUCATION,A,28800,7.49,1,0.32,N,6
29,56048,RENT,4.0,PERSONAL,A,4800,6.39,0,0.09,N,6
25,58650,RENT,7.0,MEDICAL,D,5600,14.84,1,0.08,N,4
23,60000,MORTGAGE,7.0,PERSONAL,C,2000,14.26,0,0.03,Y,3
28,142000,MORTGAGE,3.0,EDUCATION,B,18000,10.38,0,0.13,N,8
30,31200,RENT,0.0,EDUCATION,C,3100,13.35,0,0.1,N,10
31,54000,MORTGAGE,5.0,MEDICAL,F,19400,18.53,1,0.36,N,10
30,52000,MORTGAGE,4.0,EDUCATION,C,4200,11.054300136425647,0,0.08,Y,6
27,60000,RENT,3.0,VENTURE,F,7000,19.47,0,0.12,N,7
29,52000,MORTGAGE,6.0,MEDICAL,B,7800,10.36,0,0.15,N,9
24,55000,RENT,5.0,HOMEIMPROVEMENT,A,10000,5.42,0,0.18,N,2
25,52000,RENT,3.0,EDUCATION,B,7200,12.69,0,0.14,N,3
32,30000,RENT,3.0,MEDICAL,D,3600,14.11,1,0.12,Y,9
24,36500,MORTGAGE,0.0,EDUCATION,C,7000,13.16,0,0.19,Y,4
31,75000,RENT,2.0,VENTURE,A,6000,7.68,0,0.08,N,10
26,36000,RENT,2.0,PERSONAL,D,4000,14.54,1,0.11,N,2
29,44000,RENT,4.0,DEBTCONSOLIDATION,C,12000,15.96,1,0.27,Y,7
26,63000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,3800,12.04,0,0.06,Y,4
22,34992,RENT,1.0,PERSONAL,B,5000,11.054300136425647,0,0.14,N,3
25,50000,RENT,0.0,EDUCATION,A,2900,8.0,0,0.06,N,4
25,30000,RENT,3.0,VENTURE,D,10500,16.29,1,0.35,N,2
31,24000,RENT,2.0,MEDICAL,A,1800,8.59,0,0.07,N,6
30,120000,RENT,0.0,HOMEIMPROVEMENT,A,4800,7.4,0,0.04,N,8
24,54000,MORTGAGE,5.0,MEDICAL,B,9000,11.14,0,0.17,N,4
38,72000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,6000,5.99,0,0.08,N,11
31,29000,MORTGAGE,6.0,PERSONAL,D,5000,15.99,0,0.17,N,7
21,30000,RENT,5.0,VENTURE,B,10000,11.99,1,0.33,N,4
24,122000,RENT,4.0,EDUCATION,B,15000,11.58,0,0.12,N,3
31,28000,RENT,1.0,MEDICAL,B,2600,10.08,0,0.09,N,7
23,90000,RENT,5.0,MEDICAL,A,8000,6.92,0,0.09,N,3
22,49920,MORTGAGE,1.0,EDUCATION,C,10000,12.53,0,0.2,N,3
25,85000,RENT,7.0,MEDICAL,E,20000,17.39,1,0.2,N,2
33,51000,MORTGAGE,12.0,MEDICAL,A,7200,6.76,0,0.14,N,5
34,128000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,12325,8.49,1,0.1,N,5
38,313000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,21600,11.054300136425647,0,0.07,Y,16
25,46500,RENT,1.0,EDUCATION,B,6000,8.88,0,0.13,N,2
30,33000,RENT,4.0,MEDICAL,C,1000,14.79,0,0.03,N,10
28,50000,RENT,12.0,DEBTCONSOLIDATION,B,10000,10.74,0,0.2,N,8
30,120000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,3000,11.49,0,0.03,N,8
39,31200,RENT,2.0,PERSONAL,B,6400,11.49,0,0.21,N,15
22,40000,MORTGAGE,1.0,EDUCATION,A,4800,5.42,0,0.12,N,2
29,158000,OWN,13.0,VENTURE,A,11000,8.49,0,0.07,N,7
26,69912,MORTGAGE,9.0,VENTURE,A,8000,6.99,0,0.11,N,2
23,100000,MORTGAGE,5.0,MEDICAL,B,8000,11.49,0,0.08,N,4
25,45000,MORTGAGE,7.0,EDUCATION,A,7500,8.0,0,0.17,N,3
33,34000,RENT,5.0,VENTURE,B,2400,11.99,0,0.07,N,9
31,33600,MORTGAGE,3.0,VENTURE,A,7000,7.14,0,0.21,N,9
24,118000,RENT,5.0,HOMEIMPROVEMENT,A,7000,8.49,0,0.06,N,2
23,85000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7000,8.63,0,0.08,N,2
23,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7200,11.054300136425647,0,0.12,N,2
26,38100,MORTGAGE,6.0,VENTURE,A,3900,7.9,0,0.1,N,3
30,65000,RENT,4.0,HOMEIMPROVEMENT,A,24000,7.9,1,0.37,N,5
30,26400,RENT,14.0,DEBTCONSOLIDATION,C,3250,14.35,1,0.12,N,9
24,176004,MORTGAGE,2.0,DEBTCONSOLIDATION,B,3200,10.0,0,0.02,N,4
33,77000,RENT,7.0,HOMEIMPROVEMENT,D,13000,11.054300136425647,0,0.17,N,7
30,48000,RENT,4.0,MEDICAL,A,7500,7.49,0,0.16,N,6
26,61200,RENT,9.0,PERSONAL,B,3200,9.91,0,0.05,N,2
23,60000,MORTGAGE,7.0,EDUCATION,A,15000,7.9,0,0.25,N,3
26,77368,RENT,1.0,VENTURE,B,15000,10.0,0,0.19,N,3
44,80000,MORTGAGE,28.0,VENTURE,D,25000,15.33,0,0.31,Y,17
25,54000,MORTGAGE,7.0,EDUCATION,B,5500,10.59,0,0.1,N,4
33,32004,RENT,3.0,PERSONAL,A,4000,8.32,0,0.12,N,9
27,140000,MORTGAGE,4.0,PERSONAL,B,2800,11.99,0,0.02,N,9
28,48879,RENT,4.0,PERSONAL,B,5000,12.42,0,0.1,N,7
30,30000,RENT,1.0,PERSONAL,B,14500,11.054300136425647,1,0.48,N,8
24,43000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,10000,16.89,1,0.23,N,4
25,94000,MORTGAGE,1.0,VENTURE,E,25000,11.054300136425647,1,0.27,Y,2
36,15000,OWN,2.0,PERSONAL,C,5000,13.92,1,0.33,Y,15
23,75000,MORTGAGE,7.0,VENTURE,B,5400,12.69,0,0.07,N,2
22,30000,RENT,,EDUCATION,A,4350,6.03,0,0.14,N,4
54,53700,RENT,1.0,HOMEIMPROVEMENT,D,29850,11.054300136425647,1,0.56,Y,28
26,60000,RENT,10.0,DEBTCONSOLIDATION,A,16000,7.49,0,0.27,N,2
34,30000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,4300,7.9,0,0.14,N,5
21,37000,RENT,0.0,PERSONAL,B,4000,10.08,0,0.11,N,3
27,36000,MORTGAGE,6.0,VENTURE,B,4000,11.49,0,0.11,N,9
34,103000,MORTGAGE,5.0,VENTURE,A,3525,5.42,0,0.03,N,8
23,150000,RENT,4.0,EDUCATION,B,25000,10.36,0,0.17,N,3
25,85000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,24000,10.99,0,0.28,N,4
24,74700,MORTGAGE,4.0,VENTURE,B,19750,11.12,0,0.26,N,3
28,131040,MORTGAGE,0.0,MEDICAL,C,10000,13.35,0,0.08,Y,7
25,25000,RENT,1.0,HOMEIMPROVEMENT,B,8000,12.42,1,0.32,N,3
30,114132,MORTGAGE,1.0,DEBTCONSOLIDATION,D,14400,14.54,1,0.13,N,10
22,30000,RENT,1.0,EDUCATION,B,6000,10.65,0,0.2,N,2
24,73399,RENT,0.0,EDUCATION,D,27000,11.054300136425647,1,0.37,N,2
43,30000,RENT,0.0,PERSONAL,C,11525,13.57,1,0.38,Y,17
34,38769,MORTGAGE,3.0,DEBTCONSOLIDATION,A,2400,8.9,0,0.06,N,6
22,49500,RENT,7.0,MEDICAL,C,2500,14.27,0,0.05,Y,2
23,21360,RENT,0.0,PERSONAL,A,7500,7.14,1,0.35,N,3
22,60000,RENT,1.0,EDUCATION,A,6850,7.14,0,0.11,N,2
23,51600,MORTGAGE,1.0,DEBTCONSOLIDATION,B,5000,10.59,0,0.1,N,3
28,70000,RENT,0.0,MEDICAL,B,13000,12.18,0,0.19,N,7
30,200000,OWN,14.0,VENTURE,A,16000,11.054300136425647,0,0.08,N,5
31,42100,RENT,4.0,DEBTCONSOLIDATION,B,5000,10.36,0,0.12,N,9
23,90000,MORTGAGE,1.0,EDUCATION,A,4000,5.42,0,0.04,N,3
26,34000,RENT,5.0,VENTURE,A,7500,7.9,0,0.22,N,4
22,55000,MORTGAGE,2.0,MEDICAL,C,4800,12.98,0,0.09,N,4
25,38000,MORTGAGE,1.0,VENTURE,B,18800,11.054300136425647,0,0.49,N,3
24,94000,RENT,8.0,HOMEIMPROVEMENT,E,10000,18.64,0,0.11,N,2
25,80000,MORTGAGE,5.0,VENTURE,A,12000,5.99,0,0.15,N,2
23,45600,OWN,7.0,EDUCATION,A,14000,7.9,0,0.31,N,3
24,42000,MORTGAGE,2.0,PERSONAL,A,10000,7.49,0,0.24,N,4
22,52000,RENT,3.0,EDUCATION,C,5200,11.054300136425647,0,0.1,Y,4
22,36000,OWN,6.0,EDUCATION,B,7500,9.63,0,0.21,N,2
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2
24,84200,RENT,8.0,MEDICAL,C,24500,13.85,0,0.29,N,4
29,160000,MORTGAGE,8.0,EDUCATION,A,7000,11.054300136425647,0,0.04,N,8
26,35000,RENT,3.0,MEDICAL,B,1800,11.36,0,0.05,N,3
27,80000,MORTGAGE,11.0,EDUCATION,B,7500,11.71,0,0.09,N,10
